,f_feature,f_importance,p_feature,p_importance_mean,p_importance_std
0,tenure_months,0.1704059502002016,tenure_months,0.03770797405330809,0.008475250761322897
1,satisfaction_score,0.14778876942866848,satisfaction_score,0.03418795947975987,0.007664068576352061
2,total_watch_hours_1months,0.111651564251797,total_watch_hours_1months,0.016028911440981473,0.00731604014667271
3,days_since_last_login,0.06366847209301307,support_tickets_6m,0.011346442339665664,0.004728463848127727
4,monthly_fee,0.06303062643181989,payment_failures_3m,0.008233831441338301,0.004063487555532644
5,weekly_login_days,0.049665052822479086,payment_method,0.00808938525907507,0.002412862498530099
6,support_tickets_6m,0.04696403144252971,multi_service_user,0.006859534304906331,0.0032941657788688556
7,age,0.046228119599823266,days_since_last_login,0.006767672813214431,0.004460446173869462
8,price_increase_recent,0.037956564401091915,price_increase_recent,0.006090905254285388,0.0036253528596548543
9,region,0.03475114151346391,region,0.005414001482402009,0.0035975383150276723
